date	goals	assists	+/-	pim	shots	shot%	TOI	hits	blocks	faceoff %
2007-04-04	2	0	-1	0	4	50.0	19:43			
2007-04-07	0	0	0	0	8	0.0	24:19			
2007-10-05	0	1	1	0	6	0.0	20:35	2	0	0.0
2007-10-06	1	0	1	0	6	16.7	19:04	4	3	
2007-10-08	0	1	0	0	0		20:02	5	0	
2007-10-12	1	0	0	2	7	14.3	22:31	2	0	
2007-10-13	1	0	-1	0	3	33.3	18:23	2	0	
2007-10-18	1	0	0	0	7	14.3	24:19	1	0	
2007-10-20	0	0	0	2	8	0.0	22:09	5	1	
2007-10-24	1	2	1	0	6	16.7	21:10	1	0	
2007-10-26	1	1	0	0	4	25.0	23:14	2	3	
2007-10-27	0	2	0	0	3	0.0	25:41	6	1	
2007-10-29	2	0	1	0	7	28.6	20:44	3	0	
2007-11-01	0	0	0	0	6	0.0	23:17	4	0	
2007-11-02	1	0	0	0	5	20.0	19:32	0	1	
2007-11-05	0	0	0	2	5	0.0	22:07	5	1	
2007-11-06	0	0	-1	0	2	0.0	20:45	1	0	
2007-11-08	1	1	2	0	10	10.0	21:26	2	0	
2007-11-10	1	0	-1	0	6	16.7	24:49	2	2	
2007-11-15	1	0	0	0	7	14.3	25:50	2	1	
2007-11-16	1	0	0	0	9	11.1	29:24	3	3	
2007-11-19	0	1	-1	0	5	0.0	25:30	2	0	
2007-11-21	1	0	-2	0	6	16.7	26:21	1	1	
2007-11-23	0	1	1	0	4	0.0	23:23	4	0	
2007-11-24	2	0	0	0	6	33.3	19:31	2	0	
2007-11-26	1	0	0	0	9	11.1	23:30	2	0	
2007-11-28	0	0	1	0	11	0.0	15:05	2	2	100.0
2007-11-30	2	1	-1	0	6	33.3	25:45	1	1	
2007-12-01	1	1	2	4	7	14.3	22:14	1	3	
2007-12-07	0	1	2	0	5	0.0	26:09	3	0	
2007-12-08	1	1	3	0	5	20.0	20:14	3	0	
2007-12-10	0	1	1	0	1	0.0	24:03	5	0	
2007-12-12	1	0	0	0	5	20.0	27:30	5	0	
2007-12-14	1	0	-2	2	6	16.7	21:42	3	0	
2007-12-15	0	0	-2	2	7	0.0	21:02	1	0	
2007-12-17	1	0	-1	0	5	20.0	26:08	2	0	0.0
2007-12-20	0	1	-3	2	5	0.0	22:19	5	1	
2007-12-22	1	0	0	0	2	50.0	24:00	3	0	
2007-12-26	0	1	0	2	3	0.0	22:54	2	1	
2007-12-27	1	0	2	2	2	50.0	16:55	1	0	
2007-12-29	4	1	2	0	5	80.0	21:21	2	0	
2008-01-01	0	2	1	0	3	0.0	22:45	5	0	100.0
2008-01-03	0	0	0	0	4	0.0	23:27	1	0	
2008-01-05	2	0	0	2	5	40.0	23:53	7	0	
2008-01-09	0	0	0	0	5	0.0	20:50	1	0	
2008-01-13	1	1	1	0	6	16.7	25:35	3	0	
2008-01-15	1	0	0	0	3	33.3	24:01	2	1	
2008-01-17	1	1	2	0	5	20.0	24:28	4	1	
2008-01-19	1	1	0	0	9	11.1	18:52	0	0	
2008-01-21	2	1	1	0	11	18.2	28:48	4	0	
2008-01-23	1	0	1	0	8	12.5	23:38	1	0	
2008-01-24	0	2	0	0	2	0.0	20:21	1	0	
2008-01-29	0	0	-1	0	4	0.0	22:09	5	0	
2008-01-31	4	1	4	0	6	66.7	24:52	5	0	
2008-02-02	0	0	-2	0	7	0.0	22:46	2	1	
2008-02-05	2	0	0	0	10	20.0	21:59	3	0	0.0
2008-02-06	1	0	0	2	4	25.0	18:17	4	0	0.0
2008-02-08	0	0	-1	0	4	0.0	27:56	5	1	0.0
2008-02-10	1	2	1	0	4	25.0	21:30	3	1	
2008-02-13	1	1	1	0	6	16.7	25:25	0	0	50.0
2008-02-15	0	0	-2	0	4	0.0	24:25	2	1	100.0
2008-02-16	0	0	-1	0	5	0.0	21:52	0	0	0.0
2008-02-20	0	0	-2	0	1	0.0	25:15	3	0	0.0
2008-02-23	0	3	0	0	8	0.0	23:03	5	0	0.0
2008-02-24	0	1	1	0	4	0.0	26:00	5	1	100.0
2008-02-26	0	0	-1	0	4	0.0	23:35	0	1	0.0
2008-02-29	0	1	1	0	2	0.0	22:25	2	0	
2008-03-01	1	1	2	0	4	25.0	24:57	3	0	
2008-03-03	3	2	3	2	5	60.0	18:46	1	0	
2008-03-05	2	0	3	2	4	50.0	20:05	5	0	
2008-03-08	0	1	0	0	3	0.0	22:32	4	0	
2008-03-09	0	2	-2	0	10	0.0	25:22	2	2	100.0
2008-03-12	2	0	1	0	11	18.2	24:27	1	1	
2008-03-14	1	1	2	2	7	14.3	17:40	0	0	
2008-03-16	0	0	0	2	5	0.0	25:49	2	1	
2008-03-18	1	2	2	0	4	25.0	20:54	2	3	
2008-03-19	0	0	-1	2	2	0.0	17:53	7	0	
2008-03-21	2	2	4	0	9	22.2	25:54	0	0	
2008-03-25	1	0	1	2	11	9.1	27:07	4	0	
2008-03-27	0	0	0	0	5	0.0	26:15	1	0	
2008-03-29	1	1	2	0	4	25.0	22:07	2	0	
2008-04-01	1	0	1	2	6	16.7	24:01	5	2	100.0
2008-04-03	2	0	1	0	5	40.0	23:31	3	2	
2008-04-05	0	0	0	2	5	0.0	23:10	3	0	
2008-10-10	0	0	0	4	6	0.0	23:02	1	0	0.0
2008-10-11	2	0	2	2	6	33.3	24:46	1	1	0.0
2008-10-13	0	0	0	0	3	0.0	23:23	5	1	0.0
2008-10-16	0	0	1	0	5	0.0	25:50	3	0	0.0
2008-10-18	0	1	0	2	6	0.0	28:30	3	0	
2008-10-21	0	1	1	0	4	0.0	24:48	7	1	
2008-10-23	0	0	0	0	7	0.0	21:42	2	0	
2008-10-25	0	1	0	2	4	0.0	24:10	2	0	
2008-11-04	0	0	-1	2	4	0.0	21:12	2	0	0.0
2008-11-06	0	3	3	0	2	0.0	22:21	7	0	
2008-11-08	0	0	0	0	3	0.0	21:50	4	0	
2008-11-10	1	1	2	0	6	16.7	19:25	4	0	0.0
2008-11-12	1	2	4	0	5	20.0	18:03	1	0	
2008-11-14	1	1	2	0	5	20.0	22:03	1	0	
2008-11-15	2	1	3	0	12	16.7	24:39	3	1	
2008-11-19	1	3	1	4	6	16.7	24:03	2	0	0.0
2008-11-20	0	1	-4	2	5	0.0	22:05	7	0	
2008-11-22	0	1	-2	2	3	0.0	24:33	10	0	
2008-11-24	1	0	0	2	6	16.7	25:42	4	3	0.0
2008-11-26	3	1	2	0	6	50.0	21:32	2	0	
2008-11-28	1	0	1	0	7	14.3	21:50	8	1	
2008-11-29	0	0	-2	0	6	0.0	25:18	4	0	
2008-12-02	0	1	-2	2	7	0.0	25:55	4	0	
2008-12-04	1	2	0	4	11	9.1	19:22	0	0	
2008-12-06	0	0	1	4	7	0.0	23:17	6	1	
2008-12-07	0	1	-3	0	11	0.0	27:18	4	0	
2008-12-10	1	1	0	2	5	20.0	19:44	4	1	
2008-12-12	2	0	1	2	9	22.2	21:42	0	2	
2008-12-13	0	1	0	4	3	0.0	19:20	3	0	0.0
2008-12-16	2	0	2	0	6	33.3	24:13	3	0	
2008-12-18	1	0	0	0	7	14.3	22:18	5	1	
2008-12-20	0	0	-2	0	12	0.0	23:09	6	1	
2008-12-23	2	1	-1	0	13	15.4	22:02	4	0	
2008-12-26	1	0	2	2	8	12.5	24:04	3	0	
2008-12-28	2	0	2	0	7	28.6	20:08	0	0	
2008-12-30	0	0	-1	0	4	0.0	21:35	1	1	
2009-01-01	1	2	0	2	4	25.0	22:26	3	2	100.0
2009-01-03	1	0	0	0	9	11.1	27:23	3	0	0.0
2009-01-06	0	0	0	2	5	0.0	28:07	1	0	100.0
2009-01-09	0	0	0	4	12	0.0	28:21	4	0	
2009-01-10	0	1	0	2	8	0.0	22:44	1	1	
2009-01-13	0	0	-1	0	7	0.0	26:05	1	0	
2009-01-14	2	1	2	0	10	20.0	23:00	3	0	
2009-01-17	0	0	0	2	9	0.0	24:34	3	0	
2009-01-19	2	0	0	2	8	25.0	23:43	0	0	
2009-01-20	0	0	0	2	6	0.0	24:17	3	0	
2009-01-27	0	1	0	0	9	0.0	20:56	7	1	
2009-01-31	2	0	0	0	5	40.0	20:42	5	1	
2009-02-01	3	0	1	0	4	75.0	20:48	3	0	
2009-02-03	0	2	-1	0	1	0.0	19:17	2	0	
2009-02-05	1	0	-1	0	9	11.1	23:06	3	0	0.0
2009-02-07	0	1	0	2	12	0.0	20:41	3	2	100.0
2009-02-11	0	1	0	2	5	0.0	20:37	13	0	
2009-02-14	1	0	1	2	5	20.0	17:32	2	0	
2009-02-15	3	0	2	0	8	37.5	18:21	1	0	100.0
2009-02-18	1	0	1	0	6	16.7	25:33	1	1	
2009-02-20	0	0	-1	0	5	0.0	23:31	5	0	
2009-02-22	1	1	0	0	9	11.1	18:36	5	0	
2009-02-24	1	1	0	0	9	11.1	25:12	2	1	
2009-02-26	0	1	-1	2	5	0.0	25:28	2	2	0.0
2009-02-28	1	0	0	0	5	20.0	22:40	1	2	
2009-03-01	1	0	0	0	7	14.3	20:38	1	0	
2009-03-03	0	1	-2	0	6	0.0	24:10	2	0	
2009-03-08	1	0	0	0	7	14.3	25:41	4	0	
2009-03-10	0	1	0	2	5	0.0	25:58	2	0	
2009-03-12	1	1	0	0	8	12.5	19:20	3	0	
2009-03-14	1	1	-2	0	8	12.5	23:49	4	0	
2009-03-16	0	0	-2	0	10	0.0	25:10	3	0	0.0
2009-03-17	0	1	1	0	4	0.0	19:04	0	0	0.0
2009-03-19	1	2	2	0	4	25.0	21:49	0	1	0.0
2009-03-21	0	1	-1	0	7	0.0	23:56	4	0	75.0
2009-03-24	1	1	1	0	7	14.3	23:27	4	1	0.0
2009-03-27	2	2	0	0	7	28.6	27:04	3	0	33.3
2009-04-01	1	0	1	0	5	20.0	24:39	1	0	0.0
2009-04-03	1	2	-2	2	9	11.1	22:00	4	0	0.0
2009-04-05	0	2	-2	0	11	0.0	25:21	1	1	0.0
2009-04-07	0	2	0	0	4	0.0	20:08	1	0	
2009-04-09	0	0	1	2	11	0.0	23:15	1	1	
2009-04-11	1	1	-1	0	6	16.7	23:19	2	0	0.0
2009-10-01	2	1	2	2	5	40.0	20:14	3	0	
2009-10-03	1	2	2	2	5	20.0	22:12	4	0	
2009-10-06	2	1	2	0	7	28.6	22:54	0	0	
2009-10-08	0	0	-1	0	9	0.0	24:57	3	0	
2009-10-10	0	1	0	0	9	0.0	22:57	10	0	
2009-10-12	0	2	2	0	7	0.0	24:31	4	0	
2009-10-15	2	0	2	0	13	15.4	20:53	2	1	
2009-10-17	2	0	0	0	6	33.3	22:43	2	1	
2009-10-22	0	0	0	2	4	0.0	24:38	0	0	
2009-10-24	0	1	-1	2	2	0.0	26:48	2	0	
2009-10-27	2	0	3	0	5	40.0	21:00	5	0	100.0
2009-10-29	2	1	0	0	6	33.3	19:23	1	0	0.0
2009-10-30	1	0	-1	0	7	14.3	25:51	1	0	0.0
2009-11-01	0	0	0	4	1	0.0	7:43	3	0	0.0
2009-11-17	1	0	-1	0	1	100.0	19:23	7	0	
2009-11-20	0	0	0	0	5	0.0	23:26	4	0	100.0
2009-11-21	1	0	1	0	6	16.7	26:38	1	1	
2009-11-23	0	1	0	2	3	0.0	21:56	2	0	
2009-11-25	1	0	1	15	3	33.3	15:25	3	0	
2009-11-28	1	1	1	0	8	12.5	25:32	0	1	100.0
2009-11-30	0	1	1	15	1	0.0	3:08	1	0	
2009-12-07	2	0	1	0	7	28.6	22:02	5	1	100.0
2009-12-09	0	0	-1	2	6	0.0	23:58	1	0	100.0
2009-12-11	0	2	3	0	6	0.0	23:36	1	1	50.0
2009-12-12	1	2	0	0	4	25.0	21:26	2	0	
2009-12-15	0	1	1	0	2	0.0	19:12	1	0	
2009-12-18	0	0	-1	0	3	0.0	24:23	2	0	
2009-12-19	2	1	1	0	9	22.2	23:38	3	0	
2009-12-23	1	2	1	0	5	20.0	20:54	4	0	0.0
2009-12-26	1	2	3	0	5	20.0	18:58	2	0	
2009-12-28	0	2	-2	0	7	0.0	24:56	2	1	
2009-12-30	1	0	0	2	3	33.3	23:06	6	0	0.0
