2013-04-04 15:48:15-04:00	@JustVBS  eto bili sbori moey 1komandi dynamo.zdes i moy 1y trener . was my 1st team dynamo ...and my 1st coach Kirilov V.V..it was fun time
2013-04-03 21:14:43-04:00	Welcome to Caps Martin Erat )))
2013-03-31 03:18:19-04:00	http://t.co/J0BRGZ0iJc hahaahahaha good one
2013-03-24 12:54:47-04:00	Going to morning skate.. http://t.co/kb4oqL7I3G
2013-03-24 01:34:46-04:00	@MayHockeyCSN dont worry!hahaha im going to hotel sleep now!))hahaha
2013-03-24 01:30:36-04:00	It was best !!now time to rest!!tom is a big one for us!
2013-03-24 00:03:45-04:00	Me and @davidabrutyn with friends at  dinner in NYC!!! Guess where????
2013-03-23 19:03:04-04:00	Moldodchiki Dynamo!!!tak derjat MYJIKI!!!!!
2013-03-22 18:07:31-04:00	3-2))))))hahahahahaha krasavchiki!!!!!
2013-03-22 18:04:13-04:00	http://t.co/MiE2GR3ytw
2013-03-22 18:03:07-04:00	Molodci DYNAMO!!!!ochen yverenno!tak derjat MYJIKI!!!!!!3-1)))haha
2013-03-14 02:57:16-04:00	@PeteGlowDC dont strat it!!!))))haha
2013-03-14 00:04:50-04:00	Gr8 game !! @mkirilenko !!!!miss u in dc....hope see u soon!!
2013-03-14 00:00:46-04:00	@WojtekWolski86 @brookslaich @tbrouwer20 @GreenLife52 @backstrom19 after sushi in carolina...now going to movie! http://t.co/Iew2khgXwk
2013-03-07 17:22:54-05:00	Второй такой возможности у вас не будет! Вливайтесь! http://t.co/CaTFC3xGBo.
2013-03-07 17:20:57-05:00	Будущие факелоносцы, не тяните с подачей заявок на сайте @cocacola.ru, окончание регистрации через 10 дней. Еще не поздно!!!
