puckdrop	decision	goals against	shots against	saves	save %
2016-03-22 19:30:00-04:00	L	3	21	18	.857
2016-03-26 19:00:00-04:00	O	4	39	35	.897
2016-03-31 20:00:00-04:00	W	2	25	23	.920
2016-04-07 19:30:00-04:00	W	1	34	33	.971
2016-10-12 19:00:00-04:00	W	4	38	34	.895
2016-10-15 19:00:00-04:00	W	3	24	21	.875
2016-10-18 19:30:00-04:00	W	4	35	31	.886
2016-10-22 19:00:00-04:00	L	4	35	31	.886
2016-10-25 22:00:00-04:00	W	0	22	22	1.000
2016-10-30 21:00:00-04:00	W	0	37	37	1.000
2016-11-01 19:30:00-04:00	W	1	33	32	.970
2016-11-05 19:00:00-04:00	L	2	32	30	.938
2016-11-08 20:00:00-05:00	L	3	30	27	.900
2016-11-11 19:30:00-05:00	W	1	33	32	.970
2016-11-13 17:00:00-05:00	O	2	42	40	.952
2016-11-15 19:00:00-05:00	W	2	35	33	.943
2016-11-19 19:00:00-05:00	L	4	23	19	.826
2016-11-22 19:30:00-05:00	W	3	39	36	.923
2016-11-24 19:30:00-05:00	W	1	20	19	.950
2016-11-26 19:00:00-05:00	W	1	33	32	.970
2016-11-27 19:00:00-05:00	W	0	33	33	1.000
2016-11-29 19:30:00-05:00	L	5	28	23	.821
2016-12-05 19:00:00-05:00	L	7	43	36	.837
2017-02-11 13:00:00-05:00	W	0	33	33	1.000
2017-02-14 19:30:00-05:00	L	3	25	22	.880
2017-02-18 19:00:00-05:00	W	3	37	34	.919
2017-02-21 19:00:00-05:00	W	1	30	29	.967
2017-02-24 19:30:00-05:00	L	3	44	41	.932
2017-02-26 19:30:00-05:00	W	1	38	37	.974
2017-03-02 19:30:00-05:00	W	1	23	22	.957
2017-03-04 19:00:00-05:00	W	2	27	25	.926
2017-03-06 19:30:00-05:00	W	2	27	25	.926
2017-03-08 20:00:00-05:00	W	2	37	35	.946
2017-03-11 19:00:00-05:00	W	2	16	14	.875
2017-03-18 19:00:00-04:00	O	3	32	29	.906
2017-03-19 19:30:00-04:00	L	4	37	33	.892
2017-03-21 19:00:00-04:00	W	2	36	34	.944
2017-03-25 19:00:00-04:00	L	3	24	21	.875
2017-03-28 19:00:00-04:00	O	2	35	33	.943
2017-03-30 20:00:00-04:00	L	5	26	21	.808
2017-04-03 19:00:00-04:00	O	4	33	29	.879
2017-04-04 19:30:00-04:00	W	0	24	24	1.000
2017-04-06 19:00:00-04:00	W	1	29	28	.966
2017-04-09 00:30:00-04:00	W	1	19	18	.947
2017-10-05 19:30:00-04:00	O	4	28	24	.857
2017-10-07 19:00:00-04:00	O	1	30	29	.967
2017-10-10 22:00:00-04:00	W	2	28	26	.929
2017-10-13 21:00:00-04:00	W	0	25	25	1.000
2017-10-17 19:30:00-04:00	L	3	24	21	.875
2017-10-19 19:30:00-04:00	O	5	46	41	.891
2017-10-21 19:00:00-04:00	W	3	31	28	.903
2017-10-26 19:30:00-04:00	W	4	40	36	.900
2017-10-30 19:30:00-04:00	L	6	15	9	.600
2017-11-02 19:30:00-04:00	W	1	25	24	.960
2017-11-04 14:00:00-04:00	L	5	34	29	.853
2017-11-10 14:00:00-05:00	W	3	19	16	.842
2017-11-11 13:00:00-05:00	W	0	8	8	1.000
2017-11-16 19:30:00-05:00	L	2	28	26	.929
2017-11-19 19:00:00-05:00	L	2	26	24	.923
2017-11-22 19:00:00-05:00	L	4	24	20	.833
2017-11-24 19:00:00-05:00	L	4	31	27	.871
2017-11-25 19:00:00-05:00	L	2	24	22	.917
2017-12-01 19:00:00-05:00		5	18	13	.722
2017-12-03 19:00:00-05:00		0	27	27	1.000
2017-12-06 22:00:00-05:00	L	2	21	19	.905
2017-12-09 22:00:00-05:00	L	5	50	45	.900
2017-12-13 19:00:00-05:00	W	2	29	27	.931
2017-12-16 19:00:00-05:00	W	0	28	28	1.000
2017-12-19 19:00:00-05:00	L	6	40	34	.850
2017-12-21 19:30:00-05:00	O	3	38	35	.921
2017-12-27 19:00:00-05:00	L	5	23	18	.783
2018-01-03 19:30:00-05:00	O	2	35	33	.943
2018-01-05 19:30:00-05:00	W	5	35	30	.857
2018-01-06 19:00:00-05:00	W	3	48	45	.938
2018-01-09 19:30:00-05:00	L	4	26	22	.846
2018-01-10 19:30:00-05:00	W	3	48	45	.938
2018-01-18 19:30:00-05:00	L	3	36	33	.917
2018-01-20 19:00:00-05:00	L	4	33	29	.879
2018-01-23 20:00:00-05:00	L	2	40	38	.950
2018-01-30 19:00:00-05:00	L	2	39	37	.949
2018-02-03 13:00:00-05:00	W	3	36	33	.917
2018-02-06 19:30:00-05:00	W	3	33	30	.909
2018-02-08 19:30:00-05:00	W	3	38	35	.921
2018-02-10 19:00:00-05:00		3	10	7	.700
2018-02-13 19:00:00-05:00		1	18	17	.944
2018-02-15 19:30:00-05:00	W	2	25	23	.920
2018-02-17 14:00:00-05:00	W	3	38	35	.921
2018-02-19 20:00:00-05:00	L	5	41	36	.878
2018-02-22 19:30:00-05:00	L	4	24	20	.833
2018-02-24 14:00:00-05:00	L	5	39	34	.872
2018-03-02 22:00:00-05:00	W	4	29	25	.862
2018-03-05 20:30:00-05:00	W	2	33	31	.939
2018-03-08 19:30:00-05:00	O	3	34	31	.912
2018-03-12 19:30:00-04:00	W	3	38	35	.921
2018-03-16 19:30:00-04:00	W	2	25	23	.920
2018-03-20 19:30:00-04:00	L	4	17	13	.765
2018-03-22 19:30:00-04:00	L	6	38	32	.842
2018-03-26 19:00:00-04:00	L	3	29	26	.897
2018-03-29 19:30:00-04:00	W	2	26	24	.923
2018-04-02 19:30:00-04:00	L	6	40	34	.850
2018-04-04 19:30:00-04:00	W	2	34	32	.941
2018-04-06 19:30:00-04:00	L	4	23	19	.826
2018-10-04 19:30:00-04:00	O	4	43	39	.907
2018-10-06 19:00:00-04:00	W	3	37	34	.919
2018-10-10 19:30:00-04:00	L	6	44	38	.864
2018-10-13 14:00:00-04:00	W	1	37	36	.973
2018-10-15 19:30:00-04:00	W	1	38	37	.974
2018-10-20 19:00:00-04:00	W	3	27	24	.889
2018-10-23 19:30:00-04:00	L	4	32	28	.875
2018-10-26 21:00:00-04:00	L	6	37	31	.838
2018-10-28 20:00:00-04:00	O	4	53	49	.925
2018-10-30 22:00:00-04:00		2	24	22	.917
2018-11-01 19:30:00-04:00	W	2	48	46	.958
2018-11-03 14:00:00-04:00	L	3	10	7	.700
2018-11-04 19:00:00-05:00	O	4	45	41	.911
2018-11-06 19:30:00-05:00	W	3	33	30	.909
2018-11-08 19:30:00-05:00	L	5	42	37	.881
2018-11-10 19:00:00-05:00	W	4	28	24	.857
2018-11-15 19:30:00-05:00	W	1	35	34	.971
2018-11-17 19:00:00-05:00	W	4	35	31	.886
2018-11-19 19:30:00-05:00	L	6	22	16	.727
2018-11-21 20:00:00-05:00	L	5	33	28	.848
2018-11-23 20:00:00-05:00	L	5	53	48	.906
2018-11-26 19:00:00-05:00	L	3	32	29	.906
2018-11-29 19:30:00-05:00	W	0	27	27	1.000
2018-12-01 13:00:00-05:00	W	2	38	36	.947
2018-12-04 19:30:00-05:00	L	5	41	36	.878
2018-12-06 19:30:00-05:00	L	4	42	38	.905
2018-12-08 19:00:00-05:00	W	1	36	35	.972
2018-12-11 20:00:00-05:00	L	3	36	33	.917
2018-12-14 19:30:00-05:00	W	2	28	26	.929
2018-12-17 19:30:00-05:00	W	3	34	31	.912
2018-12-21 19:00:00-05:00	L	5	25	20	.800
2019-01-19 19:00:00-05:00	L	3	38	35	.921
2019-01-22 19:30:00-05:00	L	3	33	30	.909
2019-02-02 19:00:00-05:00	L	2	21	19	.905
2019-02-06 19:30:00-05:00	L	5	30	25	.833
2019-02-18 20:30:00-05:00	L	4	30	26	.867
2019-02-22 19:00:00-05:00	L	3	40	37	.925
2019-02-24 19:00:00-05:00	L	2	35	33	.943
2019-02-26 19:00:00-05:00		1	13	12	.923
2019-02-28 19:30:00-05:00	L	3	25	22	.880
2019-03-02 19:00:00-05:00	L	5	34	29	.853
2019-03-05 19:00:00-05:00	O	4	38	34	.895
2019-03-09 19:00:00-05:00	L	3	31	28	.903
2019-03-11 19:00:00-04:00	L	3	36	33	.917
2019-03-21 21:00:00-04:00	L	5	36	31	.861
2019-03-23 16:00:00-04:00	W	3	29	26	.897
2019-03-26 19:30:00-04:00	W	0	35	35	1.000
2019-03-30 19:00:00-04:00	W	2	44	42	.955
2019-04-01 19:30:00-04:00	L	5	26	21	.808
2019-04-06 19:00:00-04:00	L	3	7	4	.571
2019-10-02 19:00:00-04:00	L	5	42	37	.881
2019-10-05 19:00:00-04:00	L	4	30	26	.867
2019-10-12 16:00:00-04:00	W	2	21	19	.905
2019-10-14 13:00:00-04:00	L	1	34	33	.971
2019-10-19 19:00:00-04:00	L	4	26	22	.846
2019-10-25 19:30:00-04:00		0	8	8	1.000
2019-10-27 19:00:00-04:00	W	2	36	34	.944
2019-11-02 19:00:00-04:00	L	5	32	27	.844
2019-11-05 19:00:00-05:00	L	4	32	28	.875
2019-11-11 19:00:00-05:00		4	24	20	.833
2019-11-13 19:00:00-05:00	W	2	23	21	.913
2019-11-16 19:00:00-05:00	L	3	31	28	.903
2019-11-20 19:30:00-05:00	W	1	36	35	.972
2019-11-25 19:00:00-05:00	L	1	19	18	.947
2019-12-04 21:30:00-05:00	W	2	26	24	.923
2019-12-07 13:00:00-05:00		2	6	4	.667
2019-12-23 19:30:00-05:00	W	1	44	43	.977
2019-12-29 17:00:00-05:00	O	4	34	30	.882
2020-01-02 19:30:00-05:00	L	5	30	25	.833
2020-01-04 19:00:00-05:00	L	4	27	23	.852
2020-01-07 19:00:00-05:00	L	5	30	25	.833
2020-01-16 19:30:00-05:00	L	4	43	39	.907
2020-01-28 19:00:00-05:00	W	2	30	28	.933
2020-02-01 19:00:00-05:00	O	2	36	34	.944
2020-02-08 14:00:00-05:00	L	4	22	18	.818
2020-02-15 19:00:00-05:00		0	14	14	1.000
2020-02-16 18:00:00-05:00	W	3	39	36	.923
2020-02-18 19:30:00-05:00	W	4	27	23	.852
2020-02-22 19:00:00-05:00	L	3	37	34	.919
2020-02-25 20:00:00-05:00	L	3	33	30	.909
2020-03-03 19:00:00-05:00	L	7	35	28	.800
2020-03-05 19:30:00-05:00	W	3	40	37	.925
2020-03-07 19:00:00-05:00	W	1	32	31	.969
2020-03-11 22:30:00-04:00	L	3	39	36	.923
2021-02-08 00:00:00-05:00	L	2	8	6	.750
2021-02-21 14:00:00-05:00	W	3	26	23	.885
2021-04-15 19:00:00-04:00		0	8	8	1.000
2021-05-08 19:00:00-04:00	W	1	29	28	.966
2021-10-14 19:00:00-04:00	W	1	31	30	.968
2021-10-19 19:00:00-04:00	W	2	34	32	.941
2021-10-22 19:00:00-04:00	L	3	25	22	.880
2021-10-25 19:00:00-04:00	W	1	36	35	.972
2021-10-28 22:00:00-04:00	W	3	37	34	.919
2021-11-02 22:30:00-04:00	L	5	27	22	.815
2022-01-29 21:00:00-05:00	W	1	28	27	.964
2022-02-01 22:00:00-05:00	L	5	35	30	.857
