date	goals	assists	+/-	pim	shots	shot%	TOI	hits	blocks	faceoff %
2018-01-10	0	0	-1	0	0		11:24	2	0	
2018-01-16	0	0	0	2	1	0.0	22:06	2	2	
2018-01-18	0	0	0	0	0		17:27	2	1	
2018-01-20	1	0	1	0	3	33.3	18:57	0	0	
2018-01-22	0	0	0	0	4	0.0	20:31	0	1	
2018-01-24	0	0	0	0	2	0.0	19:06	0	4	
2018-01-25	0	0	0	5	1	0.0	16:41	0	1	
2018-01-31	0	1	1	0	2	0.0	19:12	1	1	
2018-02-01	0	0	1	0	1	0.0	16:53	0	1	
2018-02-03	0	0	-1	0	0		16:18	3	1	
2018-02-10	0	0	-1	0	1	0.0	16:44	0	2	
2018-02-18	0	0	-1	0	2	0.0	15:12	0	0	
2018-02-22	0	0	0	0	3	0.0	15:11	1	1	
2018-02-27	0	0	0	0	3	0.0	14:57	0	1	
2018-03-05	0	1	0	2	3	0.0	19:30	0	2	
2018-03-10	0	0	0	2	0		15:32	0	1	
2018-03-14	0	1	-1	0	1	0.0	14:24	0	1	
2018-03-15	1	0	1	0	3	33.3	12:25	0	2	
2018-03-17	0	1	2	0	1	0.0	16:41	1	1	
2018-03-20	0	1	1	0	0		16:41	1	0	
2018-03-30	0	0	-1	0	1	0.0	14:06	3	0	
2018-04-02	0	0	0	0	2	0.0	14:05	3	2	
2018-04-05	0	0	-2	0	1	0.0	12:11	2	0	
2018-10-04	0	2	2	0	1	0.0	16:14	1	0	
2018-10-06	0	1	1	0	2	0.0	14:58	0	2	
2018-10-09	0	0	-2	0	2	0.0	16:29	1	0	
2018-10-13	1	0	0	0	2	50.0	16:32	0	1	
2018-10-15	0	0	-1	0	2	0.0	18:16	0	1	
2018-10-16	0	0	-1	2	0		17:52	2	1	
2018-10-23	0	0	-1	0	1	0.0	6:37	0	0	
2018-10-25	0	0	0	0	1	0.0	19:23	0	0	
2018-10-28	0	0	-3	0	2	0.0	20:55	0	3	
2018-12-31	0	0	-1	2	0		6:42	1	0	
2019-01-08	0	0	0	4	0		6:47	0	0	
2019-01-17	0	0	0	0	2	0.0	10:01	0	1	
2019-01-19	0	0	0	5	1	0.0	7:05	0	1	
2019-02-16	0	0	-1	0	0		1:33	0	1	
2019-02-25	0	2	2	0	3	0.0	18:00	0	3	
2019-02-27	0	0	-1	0	1	0.0	17:36	3	1	
2019-03-01	0	0	-1	0	4	0.0	18:49	1	0	
2019-03-02	0	0	0	0	1	0.0	19:41	2	3	
2019-03-05	0	0	0	0	0		20:39	1	2	
2019-03-08	0	0	0	0	0		18:29	1	1	
2019-03-09	0	0	-2	0	0		18:56	2	0	
2019-03-12	0	1	-4	0	0		22:16	1	1	
2019-03-13	0	1	-1	0	1	0.0	19:01	1	3	
2019-03-15	0	1	2	0	4	0.0	22:00	0	1	
2019-03-17	0	0	0	2	1	0.0	20:40	0	2	
2019-03-19	0	0	-1	0	2	0.0	21:05	0	1	
2019-03-21	0	0	-1	0	1	0.0	19:30	1	0	
2019-03-23	0	0	0	0	0		17:19	1	0	
2019-03-25	0	0	0	2	2	0.0	17:42	0	0	
2019-03-29	0	0	-1	2	0		23:20	1	2	
2019-03-30	0	0	-2	0	1	0.0	18:45	1	3	
2019-04-01	1	1	2	0	3	33.3	19:01	0	0	
2019-04-04	0	0	0	0	0		18:50	3	2	
2019-04-06	0	0	2	0	2	0.0	20:06	1	1	
2019-10-09	0	0	-2	0	1	0.0	14:25	1	1	
2019-10-10	0	1	2	0	1	0.0	13:06	1	0	
2019-10-12	0	0	-1	2	0		12:25	1	2	
2019-10-14	0	0	-2	0	2	0.0	15:20	1	3	
2019-12-21	0	0	0	0	0		5:53	0	2	
2019-12-29	0	0	0	2	0		10:31	3	0	
2020-01-11	0	1	1	0	0		18:34	2	4	
2020-01-12	0	0	0	5	0		13:55	0	1	
2020-01-14	0	1	2	2	0		18:21	0	2	
2020-01-16	0	0	0	0	1	0.0	13:51	3	0	
2020-01-18	0	0	-1	2	1	0.0	15:56	2	1	
2020-02-01	0	0	0	0	0		12:33	0	3	
2020-02-04	0	0	-1	0	1	0.0	12:12	1	3	
2020-02-06	0	0	0	0	1	0.0	15:08	1	0	
2020-02-08	0	0	0	0	1	0.0	13:55	1	1	
2020-02-11	0	1	0	0	0		14:05	0	2	
2020-02-13	0	0	0	0	0		12:11	0	0	
2020-02-16	0	0	-1	0	1	0.0	15:39	0	2	
2020-02-18	0	0	-1	0	1	0.0	17:53	1	2	
2020-02-20	0	0	-1	0	0		14:31	1	0	
2020-02-22	0	0	0	2	0		11:55	1	1	
2020-02-25	0	0	0	0	1	0.0	14:37	0	0	
2020-02-27	0	0	0	0	0		16:16	0	2	
2020-02-29	0	0	0	0	4	0.0	16:33	1	2	
2020-03-01	0	1	1	0	1	0.0	17:46	1	1	
2020-03-03	0	0	0	2	1	0.0	17:22	2	2	
2020-03-06	1	0	1	0	5	20.0	14:42	0	0	
2020-03-07	0	0	-2	0	2	0.0	14:53	2	2	
2020-03-10	0	0	-1	0	0		13:25	1	0	
2021-02-16	0	0	-2	0	1	0.0	16:14	2	1	
2021-04-20	0	0	-1	0	0		16:43	2	4	
2021-04-22	0	0	-1	0	0		15:36	1	2	
2021-04-24	0	0	0	0	2	0.0	21:15	2	1	
2021-04-25	0	0	2	0	1	0.0	21:04	2	4	
2021-04-27	1	1	1	0	1	100.0	20:07	0	2	
2021-04-29	0	0	1	5	0		19:19	1	2	
2021-05-01	0	0	2	0	0		19:16	0	4	
2021-05-03	0	0	-2	0	1	0.0	18:02	0	1	
2021-05-04	0	0	-1	0	1	0.0	19:30	0	1	
2021-05-06	0	0	-1	0	1	0.0	18:16	1	2	
