date	goals	assists	+/-	pim	shots	shot%	TOI	hits	blocks	faceoff %
2020-01-21	0	0	-1	0	0		14:25	2	0	
2020-01-22	0	1	2	0	0		15:39	3	1	
2020-01-31	0	0	0	0	0		15:22	2	0	
2020-02-01	0	0	1	0	0		18:13	0	3	
2020-02-04	0	0	-1	0	0		14:54	3	1	
2020-02-08	0	1	0	0	0		19:29	5	2	
2020-02-09	0	0	2	2	1	0.0	13:02	3	1	
2020-02-11	0	0	0	0	1	0.0	13:04	4	1	
2020-02-23	0	0	-1	0	2	0.0	14:33	3	1	
2020-02-25	0	0	-1	5	2	0.0	11:00	0	0	
2020-02-27	0	1	2	2	2	0.0	17:40	5	1	
2020-02-29	0	1	0	0	0		13:17	4	0	
2021-02-01	0	0	0	2	0		14:51	4	2	
2021-02-04	1	0	1	0	1	100.0	9:30	0	0	
2021-02-08	0	0	-2	0	2	0.0	13:01	1	1	
2021-02-10	0	0	1	7	0		9:58	1	0	
2021-02-12	0	0	0	0	0		11:30	1	0	
2021-02-16	0	0	-2	0	3	0.0	19:13	1	1	
2021-02-18	0	1	0	0	2	0.0	15:50	1	0	
2021-02-20	0	1	0	2	0		14:23	1	0	
2021-02-24	0	0	-1	2	1	0.0	18:15	2	1	
2021-04-18	0	0	0	0	0		10:50	3	1	
2021-04-20	0	0	-3	0	2	0.0	16:25	3	1	
2021-05-05	0	0	-1	5	0		12:16	1	1	
2021-05-06	0	0	-1	0	0		18:22	2	2	
2021-05-08	0	1	0	2	1	0.0	17:46	0	0	
