date time	display name	content
2018-07-24 23:44:23-04:00	Anthony Bitetto	Anyone in Nashville, know any good spots to board horses? #Asking4AFriend
2018-07-17 22:04:05-04:00	Anthony Bitetto	Afternoon Fortnite Time 🤓
2018-07-17 13:53:01-04:00	Anthony Bitetto	👌🏻 https://t.co/qHryvrkYBU
2018-07-04 18:17:35-04:00	Anthony Bitetto	Happy 4th!! 🇺🇸💥
2018-06-21 02:40:15-04:00	Anthony Bitetto	MY Dude!!! Couldn’t be happier for this… https://t.co/Xak4gx2lyQ
2018-06-17 17:41:52-04:00	Anthony Bitetto	Happy Father’s Day !!
2018-06-12 23:49:53-04:00	Anthony Bitetto	@FortniteGame Let us know when we’re up, what ya think @NickBonino
2018-05-30 01:22:03-04:00	Anthony Bitetto	@Hartsy43 Read the directions buddy, you don’t pick what you want 😂😂 https://t.co/oOyf7vtLeb
2018-05-30 01:17:32-04:00	Anthony Bitetto	@CamAtkinson13 Flying Spice - Yupp that checks out ✔️
2018-05-13 15:26:49-04:00	Anthony Bitetto	Happy Mother’s Day!!
2018-04-23 02:27:13-04:00	Anthony Bitetto	Round 1 ✔️
2018-04-21 14:31:03-04:00	Anthony Bitetto	After she killed the Anthem, I swere she asked me for the pic 😳 Thanks @MarenMorris https://t.co/MGyHwo5Hz0
2018-03-17 04:27:14-04:00	Anthony Bitetto	We Back 👌🏻
2018-02-28 04:18:06-05:00	Anthony Bitetto	Ummmm.... Try that again, use the whole hand ✋🏻 https://t.co/vg6QuVawJc
2018-02-25 02:05:48-05:00	Anthony Bitetto	Gotta check out my buddy, @Kompany39 Awesome stuff, Learn from the best to be the best!
2018-02-24 02:19:17-05:00	Anthony Bitetto	Preds And Threads! Having A Blast!! cfieldsy @predsnhl https://t.co/o2M9uejeJT
2018-02-16 20:18:09-05:00	Anthony Bitetto	"7 days left to get your tickets for Preds &amp; Threads and see me and the rest of the @predsnhl walk the runway. Proceeds will benefit
the @predsfoundation. Get your tickets before it’s too late: https://t.co/VgnlEtNtk5"
2018-02-13 03:10:10-05:00	Anthony Bitetto	Finallyyyyy!!! Beanpot is heading to Huntington Ave!!! Snack on that for lunch @NickBonino
2018-02-12 23:59:57-05:00	Anthony Bitetto	Bean pot Finals! Oh it’s on @NickBonino #GoNU #BeatBU
2018-02-09 23:55:27-05:00	Anthony Bitetto	Great day visiting all these kids!! Lots of fun! https://t.co/z97dDtN3JJ
2018-02-03 04:59:16-05:00	Anthony Bitetto	🤜🏻 https://t.co/4FX05vMi96
2018-01-01 05:02:43-05:00	Anthony Bitetto	Happy New Year East Coast Love 🤘🏻
2018-01-01 00:32:25-05:00	Anthony Bitetto	#TitanUp 🔥
2017-12-25 13:51:15-05:00	Anthony Bitetto	Merry Christmas!!! 🎅🏻
2017-12-24 20:38:46-05:00	Anthony Bitetto	100% https://t.co/rDR7HK0BsJ
2017-12-24 20:08:10-05:00	Anthony Bitetto	It’s cold but let’s go @Titans https://t.co/xlwJezNxTL
2017-12-24 19:14:25-05:00	Anthony Bitetto	#TitanUp @Titans @colton_es15 https://t.co/ZyjvskRXuO
2017-12-02 00:07:58-05:00	Anthony Bitetto	So your saying there’s a chance ... ? I’d look good in pinstripes https://t.co/PbnITdNQp4
2017-11-30 00:42:04-05:00	Anthony Bitetto	Awesome Fathers Trip! Always a weekend to remember! https://t.co/wqdHHAmecv
2017-11-25 04:18:38-05:00	Anthony Bitetto	Couldn’t be more Happy for the big Man! All Time Finnish Shutout leader! Congrats Peks! 🇫🇮🇫🇮🇫🇮
2017-11-23 15:21:01-05:00	Anthony Bitetto	Happy Thanksgiving! 🦃
2017-11-01 00:45:50-04:00	Anthony Bitetto	Happy Halloween 🎃 https://t.co/okuN2yqh9R
2017-10-17 01:50:59-04:00	Anthony Bitetto	All Rise !!! 👎🏻
2017-10-10 01:39:45-04:00	Anthony Bitetto	Great Day at the Martha O'Brien Center! Served Some Tacos with The… https://t.co/K4gPHHjwwC
2017-10-09 00:45:54-04:00	Anthony Bitetto	Tanakaaaaaa!
2017-10-08 20:27:45-04:00	Anthony Bitetto	Where is Tom Coughlin?
2017-10-04 04:01:53-04:00	Anthony Bitetto	Boom!!! There back ! #yanks
2017-09-10 17:18:15-04:00	Anthony Bitetto	Titan Up ! @titans https://t.co/PG2FFkx6e7
2017-09-07 01:20:50-04:00	Anthony Bitetto	Sunday going to be 🔥 @titans #TitanUp https://t.co/9DOL2vk5ia
2017-08-20 15:31:20-04:00	Anthony Bitetto	"Little Sunday Work 🥅
 @hockeyshot1 https://t.co/fHeoxdbO54"
2017-08-03 12:37:50-04:00	Anthony Bitetto	😭 Gunna Miss ya Mikey! https://t.co/GABFmPPfLL
2017-07-15 22:51:06-04:00	Anthony Bitetto	Thanks for all the Birthday Wishes!
2017-07-08 21:39:01-04:00	Anthony Bitetto	You in My turf now 🙌🏻 https://t.co/4pAr5WlXhF
2017-06-22 01:42:27-04:00	Anthony Bitetto	Gunna miss this guy @jneal_18 😔
2017-06-19 12:42:02-04:00	Anthony Bitetto	#TitanUp https://t.co/WnSKjLyrtI
2017-05-27 00:30:24-04:00	Anthony Bitetto	Thanks @nashvillesounds for the tickets! @Cfieldsy @HarryZ87 @colton_es15 @PKSubban1 https://t.co/UqoTUoBlQ3
2017-05-14 14:40:16-04:00	Anthony Bitetto	Happy Mother's Day!
2017-04-23 04:28:58-04:00	Anthony Bitetto	@ALIAQUINTA  Long Island Is Hungry!!! https://t.co/4pd1U8xvqL
2017-02-23 00:37:27-05:00	Anthony Bitetto	What a awesome time  @TEG_Nashville !
2017-02-12 01:03:44-05:00	Anthony Bitetto	Anytime!  https://t.co/qungHA1I98
2017-01-25 21:55:00-05:00	Anthony Bitetto	#BellLetsTalk
